title, Python
time,09:00
5,Start day,-,-
30,Making Choices ,,https://swcarpentry.github.io/r-novice-inflammation/instructor/04-cond.html
30,Command-Line Programs ,,https://swcarpentry.github.io/r-novice-inflammation/instructor/05-cmdline.html/python-novice-programming-gapminder/04-lists/index.html
10,Best Practices for Writing R Code ,-,https://swcarpentry.github.io/r-novice-inflammation/instructor/06-best-practices-R.html
20,Dynamic Reports with knitr ,,https://swcarpentry.github.io/r-novice-inflammation/instructor/07-knitr-R.html
10,BREAK,-,-
20,Making Packages in R ,,swcarpentry.github.io
15,Introduction to RStudio ,-,swcarpentry.github.io
20,Addressing Data ,-,https://swcarpentry.github.io/r-novice-inflammation/instructor/10-supp-addressing-data.html
30,Reading and Writing CSV Files ,-,https://swcarpentry.github.io/r-novice-inflammation/instructor/11-supp-read-write-csv.html
10,BREAK,-,-
20,Understanding Factors ,-,https://swcarpentry.github.io/r-novice-inflammation/instructor/12-supp-factors.html
5,Wrap up,-,-
